#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,AIRCRAFT_TYPE
'I','485A0B','LS-4','PH-1595','S5','Y','Y','1'
'I','485AE8','DG-1000','PH-1613','FRL','Y','Y','1'
'F','485B37','LAK-17 A','PH-1614','LB','Y','Y','1'
'I','485B94','LS-4','PH-1619','S9','Y','Y','1'
'F','485BD0','LS-8 18','PH-1623','E8','Y','Y','1'
'F','485BD1','ASG-29','PH-1622','E3','Y','Y','1'
'F','485BF4','LAK-17B FES','PH-1620','KR','Y','Y','1'
'I','485C0F','Nimbus 4DT','PH1615','651','Y','Y','1'
'I','485C40','ASW-24','PH-1625','44','Y','Y','1'
'F','485C8D','Ventus 3T','PH-1601','HC','Y','Y','1'
'F','485D32','Discus 2cT','PH-1630','H8','Y','Y','1'
'O','487631','PW-5','HA-7004','M9','Y','Y','1'
'O','488E13','Towplane','VIEWAIR','134','Y','Y','2'
'F','48C4F7','SZD-48-1 Jantar Std 2','SP-3173','IF','Y','Y','1'
'I','48CC80','SZD-48-1 Jantar Std 2','SP-3740','DZ','Y','Y','1'
'I','48D009','LS-7','SP-4008','ZR','Y','Y','1'
'I','48D247','Cessna 172','SP-WTH','WTH','Y','Y','2'
'O','48E90E','Marianne','OK-0201','SL','Y','Y','1'
'I','48FC41','Ultralight','SP-SFCB','','Y','Y','3'
'F','48FD23','Paraglider','lala','lul','Y','Y','6'
'I','48FDC0','Gyrocopter','SP-XBOA','','Y','Y','3'
'O','48FF2F','DJI Phantom','LEGT003','','Y','Y','5'
'O','490544','HangGlider','VIEWAIR','199','Y','Y','6'
'O','49510B','Cirrus Std','OK-3254','KA','Y','Y','1'
'O','495246','Ultralight','48-24','COR','Y','Y','3'
'F','4958C8','Mosquito','PH-1602','K3','Y','Y','1'
'O','497D42','EuroFox','OM-TOW','TOW','Y','Y','3'
'I','49B008','Nimbus 2','OK-1717','NB','Y','Y','1'
'I','49B042','LS-8','OK1818','SK','Y','Y','1'
'I','49C056','WT9 Dynamic','OKKUU62','U62','Y','Y','3'
'I','49D15A','Robinson R44','OK-SVO','','Y','Y','4'
'I','49D433','Robinson R66','OK-MLD','','Y','Y','4'
'O','4A1E13','Ultralight','OKPUR07','AS1','Y','Y','3'
'F','4A26E7','Discus','D-4418','E4','Y','Y','1'
'O','4A6A19','Ka-7','HA-5076','','Y','Y','1'
'F','4A9721','PA-25 Pawnee','SE-EYA','','Y','Y','2'
'I','4A972C','PA-18 Super Cub','SE-EYL','YL','Y','Y','2'
'F','4A9ADA','PA-25 Pawnee','SE-FVZ','','Y','Y','2'
'I','4AA46C','PA-28','SE-ICL','','Y','Y','2'
'O','4AAB4B','Blanik','0751','','Y','Y','1'
'I','4AADF2','PA-28','SE-KOR','KOR','Y','Y','2'
'I','4AB28B','Cessna 172','SE-LTK','','Y','Y','2'
'I','4AB455','Towplane','SE-MBU','','Y','Y','2'
'F','4AC5D4','DG-500','SE-UND','VE','Y','Y','1'
'I','4ACF34','Bergfalke II','SE-SYT','','Y','Y','1'
'I','4AD113','Astir CS','SE-THS','U3','Y','Y','1'
'I','4AD18E','Bergfalke IV','SE-TLN','LN','Y','Y','1'
'I','4AD1F0','Salto H101','SE-TOP','OP','Y','Y','1'
'I','4AD1F2','SZD-36 Cobra 15','SE-TOR','','Y','Y','1'
'I','4AD2C5','Pilatus B4','SE-TVE','H6','Y','Y','1'
'I','4AD321','LS-6','SE-TYA','YA','Y','Y','1'
'I','4AD32C','DG-100','SE-TYL','D6','Y','Y','1'
'I','4AD34C','Twin Astir II','SE-TZL','','Y','Y','1'
'I','4AD450','SF-25','SE-UBP','BP','Y','Y','1'
'I','4AD46C','SF-25','SE-UCL','CL','Y','Y','1'
'I','4AD46F','SF-25','SE-UCO','UCO','Y','Y','1'
'I','4AD473','Motorglider','SE-UCS','CS','Y','Y','1'
